"Week Ending","Week Number","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 5, 2025","1","2025","Actual","16,542,289","0","42,917","14,495,030","0","1,868,041","136,298"
"Jan 12, 2025","2","2025","Actual","29,046,341","233,602","83,153","27,530,323","0","1,163,814","35,448"
"Jan 19, 2025","3","2025","Actual","33,857,013","1,534,590","60,353","30,565,620","0","1,138,105","558,343"
"Jan 26, 2025","4","2025","Actual","35,821,315","2,853,414","350,240","30,712,457","0","1,793,663","111,538"
"Feb 2, 2025","5","2025","Actual","29,365,596","2,199,691","103,271","24,835,186","0","1,703,588","523,858"
"Feb 9, 2025","6","2025","Actual","17,397,603","836,241","194,279","14,736,147","0","1,368,871","262,062"
"Feb 16, 2025","7","2025","Actual","22,313,092","648,464","278,055","18,996,290","0","2,045,551","344,729"
"Feb 23, 2025","8","2025","Actual","26,974,853","1,461,951","284,238","23,455,235","0","1,493,108","280,319"
"Mar 2, 2025","9","2025","Actual","26,882,218","1,958,911","453,993","21,221,967","0","2,990,612","256,733"
"Mar 9, 2025","10","2025","Actual","19,844,342","1,492,242","735,744","16,137,037","0","1,219,409","259,908"
"Mar 16, 2025","11","2025","Projection","28,135,886","2,920,633","0","23,535,255","0","1,679,996","0"
"Mar 23, 2025","12","2025","Projection","26,544,622","3,627,783","0","21,739,840","0","1,176,997","0"
"Mar 30, 2025","13","2025","Projection","28,154,346","4,348,314","0","22,929,033","0","876,998","0"
"Apr 6, 2025","14","2025","Projection","29,014,583","4,404,242","0","23,807,342","0","802,998","0"
"Apr 13, 2025","15","2025","Projection","31,618,694","6,373,330","0","24,697,365","0","547,998","0"
"Apr 20, 2025","16","2025","Projection","26,241,364","7,390,737","0","18,250,627","0","599,998","0"
"Apr 27, 2025","17","2025","Projection","30,208,412","8,400,251","0","21,078,161","0","729,998","0"
"May 4, 2025","18","2025","Projection","26,031,749","6,561,253","0","18,922,496","0","547,998","0"
"May 11, 2025","19","2025","Projection","27,340,782","6,778,614","0","19,685,169","0","876,998","0"
"May 18, 2025","20","2025","Projection","26,187,455","6,505,733","0","18,731,723","0","949,998","0"
"May 25, 2025","21","2025","Projection","25,610,160","7,065,148","0","17,632,012","0","912,998","0"
"Jun 1, 2025","22","2025","Projection","24,110,169","5,735,035","0","17,316,135","0","1,058,997","0"
"Jun 8, 2025","23","2025","Projection","24,416,655","7,498,011","0","15,881,645","0","1,036,997","0"
"Jun 15, 2025","24","2025","Projection","25,154,610","7,952,374","0","15,887,237","0","1,314,997","0"
"Jun 22, 2025","25","2025","Projection","25,321,186","8,437,446","0","15,532,742","0","1,350,997","0"
"Jun 29, 2025","26","2025","Projection","25,124,963","8,716,178","0","14,728,787","0","1,679,996","0"
"Jul 6, 2025","27","2025","Projection","8,201,067","6,735,070","0","N/A","0","1,465,997","0"
"Jul 13, 2025","28","2025","Projection","8,687,193","7,367,195","0","N/A","0","1,319,997","0"
"Jul 20, 2025","29","2025","Projection","7,716,857","6,467,859","0","N/A","0","1,248,997","0"
"Jul 27, 2025","30","2025","Projection","6,694,426","5,591,428","0","N/A","0","1,102,997","0"
"Aug 3, 2025","31","2025","Projection","5,839,011","4,816,013","0","N/A","0","1,022,997","0"
"Aug 10, 2025","32","2025","Projection","7,309,993","6,359,994","0","N/A","0","949,998","0"
"Aug 17, 2025","33","2025","Projection","7,288,182","6,075,184","0","N/A","0","1,212,997","0"
"Aug 24, 2025","34","2025","Projection","6,388,765","5,300,766","0","N/A","0","1,087,997","0"
"Aug 31, 2025","35","2025","Projection","5,283,059","4,274,061","0","N/A","0","1,008,997","0"
"Sep 7, 2025","36","2025","Projection","2,882,713","2,103,714","0","N/A","0","778,998","0"
"Sep 14, 2025","37","2025","Projection","2,206,098","1,293,100","0","N/A","0","912,998","0"
"Sep 21, 2025","38","2025","Projection","1,657,823","861,824","0","N/A","0","795,998","0"
"Sep 28, 2025","39","2025","Projection","1,195,438","396,439","0","N/A","0","798,998","0"
"Oct 5, 2025","40","2025","Projection","1,370,632","325,633","0","N/A","0","1,044,997","0"
"Oct 12, 2025","41","2025","Projection","1,354,002","236,003","0","N/A","0","1,117,997","0"
"Oct 19, 2025","42","2025","Projection","1,029,165","50,167","0","N/A","0","978,998","0"
"Oct 26, 2025","43","2025","Projection","1,204,998","0","0","N/A","0","1,204,997","0"
"Nov 2, 2025","44","2025","Projection","1,533,997","0","0","N/A","0","1,533,996","0"
"Nov 9, 2025","45","2025","Projection","1,553,997","0","0","N/A","0","1,553,996","0"
"Nov 16, 2025","46","2025","Projection","1,902,996","0","0","N/A","0","1,902,996","0"
"Nov 23, 2025","47","2025","Projection","2,308,995","0","0","N/A","0","2,308,995","0"
"Nov 30, 2025","48","2025","Projection","2,044,996","0","0","N/A","0","2,044,995","0"
"Dec 7, 2025","49","2025","Projection","1,905,996","0","0","N/A","0","1,905,996","0"
"Dec 14, 2025","50","2025","Projection","2,117,996","0","0","N/A","0","2,117,995","0"
"Dec 21, 2025","51","2025","Projection","2,128,996","0","0","N/A","0","2,128,995","0"
"Dec 28, 2025","52","2025","Projection","1,971,996","0","0","N/A","0","1,971,996","0"
