Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Charlotte,Weekly,"2025-01-19 00:00:00",Conventional,1.120589599,492416.52,214090.82,58536.48,367.71,219421.51,,,
Charlotte,Weekly,"2025-01-12 00:00:00",Conventional,1.087648932,533507.97,229851.45,60738.57,452.37,242465.58,,,
Charlotte,Weekly,"2025-01-06 00:00:00",Conventional,1.120185713,484363.55,217186.01,54674.96,467.41,212035.16,,,
Chicago,Weekly,"2025-01-26 00:00:00",Conventional,1.062800999,1338946.60,777313.80,142208.06,24882.25,394542.49,,,
Chicago,Weekly,"2025-01-19 00:00:00",Conventional,0.883307473,1613357.52,812390.51,104750.29,28748.41,667468.31,,,
Chicago,Weekly,"2025-01-12 00:00:00",Conventional,0.907278142,1625135.80,986584.90,144074.45,35853.89,458622.56,,,
Chicago,Weekly,"2025-01-06 00:00:00",Conventional,0.983393589,1587411.03,963796.56,209334.17,62135.92,352144.38,,,
Cincinnati/Dayton,Weekly,"2025-01-26 00:00:00",Conventional,1.244235656,359025.71,242368.32,42691.86,430.30,73535.23,,,
Cincinnati/Dayton,Weekly,"2025-01-19 00:00:00",Conventional,1.221249880,361033.29,229469.51,46091.46,363.39,85108.94,,,
Cincinnati/Dayton,Weekly,"2025-01-12 00:00:00",Conventional,1.091808384,353961.66,246835.10,26827.66,292.44,80006.46,,,
Cincinnati/Dayton,Weekly,"2025-01-06 00:00:00",Conventional,1.500732121,380005.73,197773.79,112433.77,638.69,69159.49,,,
Columbus,Weekly,"2025-01-26 00:00:00",Conventional,1.232142475,317394.31,165371.82,67211.71,324.37,84486.41,,,
Columbus,Weekly,"2025-01-19 00:00:00",Conventional,1.190187523,327700.85,179915.64,49114.12,305.05,98366.03,,,
Columbus,Weekly,"2025-01-12 00:00:00",Conventional,1.148120062,342925.52,194154.94,56378.95,273.85,92117.78,,,
Columbus,Weekly,"2025-01-06 00:00:00",Conventional,1.365835018,326888.70,133240.15,114446.25,437.22,78765.09,,,
"Dallas/Ft. Worth",Weekly,"2025-01-26 00:00:00",Conventional,0.992027707,1422905.51,831005.63,126197.19,855.73,464846.96,,,
"Dallas/Ft. Worth",Weekly,"2025-01-19 00:00:00",Conventional,0.901459572,1586195.75,880461.76,138214.49,530.68,566988.82,,,
"Dallas/Ft. Worth",Weekly,"2025-01-12 00:00:00",Conventional,0.942551077,1491017.81,884605.98,137527.24,808.60,468075.99,,,
"Dallas/Ft. Worth",Weekly,"2025-01-06 00:00:00",Conventional,0.934353445,1585986.18,832303.68,150939.04,1163.04,601580.43,,,
Denver,Weekly,"2025-01-26 00:00:00",Conventional,1.447939556,982727.24,421232.78,327065.84,2025.17,232403.46,,,
Denver,Weekly,"2025-01-19 00:00:00",Conventional,1.275971645,1037634.57,448473.33,330009.38,3651.08,255500.78,,,
Denver,Weekly,"2025-01-12 00:00:00",Conventional,1.293738269,1107363.92,451906.57,388732.60,13197.14,253527.61,,,
Denver,Weekly,"2025-01-06 00:00:00",Conventional,1.479635909,1012628.87,391791.91,351236.14,19093.11,250507.71,,,
Detroit,Weekly,"2025-01-26 00:00:00",Conventional,1.272185962,527648.53,287168.96,91837.70,2950.64,145691.22,,,
Detroit,Weekly,"2025-01-19 00:00:00",Conventional,1.191539013,592616.52,293353.73,89861.66,2652.75,206748.38,,,
Detroit,Weekly,"2025-01-12 00:00:00",Conventional,1.186327443,514367.57,202184.34,68623.69,2491.58,241067.95,,,
Detroit,Weekly,"2025-01-06 00:00:00",Conventional,1.372200109,551817.74,160457.13,243517.48,5550.36,142292.78,,,
"Grand Rapids",Weekly,"2025-01-26 00:00:00",Conventional,1.457295361,196516.93,47176.29,57520.04,2705.46,89115.14,,,
"Grand Rapids",Weekly,"2025-01-19 00:00:00",Conventional,1.234465481,265493.49,57835.89,65993.13,3530.74,138133.73,,,
"Grand Rapids",Weekly,"2025-01-12 00:00:00",Conventional,1.090223621,261741.76,45360.32,55574.75,2747.27,158059.43,,,
"Grand Rapids",Weekly,"2025-01-06 00:00:00",Conventional,1.187564788,273804.34,55481.38,117834.03,6603.07,93885.85,,,
Harrisburg/Scranton,Weekly,"2025-01-26 00:00:00",Conventional,1.122474286,506178.63,244951.64,59664.09,1563.78,199999.13,,,
Harrisburg/Scranton,Weekly,"2025-01-19 00:00:00",Conventional,1.070264342,583096.18,280101.06,73917.08,1439.56,227638.49,,,
Harrisburg/Scranton,Weekly,"2025-01-12 00:00:00",Conventional,1.060104915,572402.70,302218.33,69121.71,1401.91,199660.74,,,
